abstract.id,studytype,interaction,scale,decision,,,,,,,
MA60,Observational,"Consumer-resource/predator-prey, Plants - seed dispersers/predators",Interspecific,Yes,,,,,,,
MA92,Experimental,"Consumer-resource/predator-prey, Plant-pollinator/seed predator",Interspecific,Yes,,,,,,,
MA209,Experimental,Host-symbiont,Interspecific,Yes,,,,,,,
MA73,Review,Host-symbiont,Interspecific,Yes,,,,,,,
MA160,Observational,"Host-symbiont, Consumer-resource/predator-prey",Interspecific,Yes,,,,,,,
MA175,Experimental,Consumer-resource/predator-prey,Interspecific,Yes,,,,,,,
MA411,"Observational, Experimental",Host-symbiont,Both,Yes,,,,,,,
MA159,"Observational, Experimental",Host-symbiont,Both,Yes,,,,,,,
MA156,Experimental,Host-symbiont,Interspecific,Yes,,,,,,,
MA377,Review,"Host-symbiont, Competition-cooperation",Interspecific,Yes,,,,,,,
MA2,"Modelling/theory, Review",Consumer-resource/predator-prey,Interspecific,Yes,,,,,,,
MA267,Experimental,Competition-cooperation,Interspecific,Yes,,,,,,,
MA353,Modelling/theory,Competition-cooperation,Interspecific,Yes,,,,,,,
MA351,Experimental,Consumer-resource/predator-prey,Interspecific,Yes,,,,,,,
MA118,Modelling/theory,"Host-symbiont, Consumer-resource/predator-prey, Plant-animal (pollinator-seed parasite)",Interspecific,Yes,,,,,,,
MA294,Modelling/theory,interdependency of functions between organisms (something like cooperation),Both,Yes,,,,,,,
MA18,Modelling/theory,Consumer-resource/predator-prey,Both,Yes,,,,,,,
MA344,Observational,Competition-cooperation,Both,Yes,,,,,,,
MA360,Synthesis (supposedly!),Competition-cooperation,Both,Yes,,,,,,,
MA76,Experimental,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA11,Observational,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA62,Modelling/theory,"Competition-cooperation, Cooperation in group foraging behaviour",Intraspecific,Yes,,,,,,,
MA39,Experimental,"Competition-cooperation, Male-female",Intraspecific,Yes,,,,,,,
MA352,Experimental,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA28,testing hypothesis on an existing observational data set,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA205,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA174,Observational,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA332,Experimental,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA106,Experimental,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA403,"Modelling/theory, Review",Competition-cooperation,Intraspecific,Yes,,,,,,,
MA63,"Modelling/theory, Review",Competition-cooperation,Intraspecific,Yes,,,,,,,
MA373,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA245,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA337,Review,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA376,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA370,Modelling/theory,"Competition-cooperation, Cooperation (in prey attack)- Disease transfer",Intraspecific,Yes,,,,,,,
MA334,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA127,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA78,Modelling/theory,"Competition-cooperation, Multi-cellular vs single-cell",Intraspecific,Yes,,,,,,,
MA338,Modelling/theory,Competition-cooperation,Intraspecific,Yes,,,,,,,
MA408,Review,Competition-cooperation,Intraspecific,Yes,,,,,,,
